Fecha,Temperatura,Humedad
2021-01-01 00:00:15,9.044,56.796
2021-01-01 00:15:14,9.605,55.74
2021-01-01 00:30:14,9.447,56.819
2021-01-01 00:45:14,9.309,58.094
2021-01-01 01:00:15,9.397,58.013
2021-01-01 01:15:14,9.121,59.096
2021-01-01 01:30:14,8.936,60.509
2021-01-01 01:45:14,8.764,62.394
2021-01-01 02:00:14,8.203,64.675
2021-01-01 02:15:14,8.291,64.621
2021-01-01 02:30:14,7.923,66.069
2021-01-01 02:45:14,7.742,67.129
2021-01-01 03:00:14,7.93,66.215
2021-01-01 03:15:14,8.203,65.09
2021-01-01 03:30:14,8.472,63.75
2021-01-01 03:45:14,8.503,63.688
2021-01-01 04:00:15,8.403,63.884
2021-01-01 04:15:14,8.422,64.433
2021-01-01 04:30:14,8.437,64.944
2021-01-01 04:45:14,8.092,67.559
2021-01-01 05:00:13,7.946,76.375
2021-01-01 05:15:14,7.347,84.411
2021-01-01 05:30:14,7.063,87.544
2021-01-01 05:45:14,7.174,86.849
2021-01-01 06:00:14,7.401,82.81
2021-01-01 06:15:14,7.401,82.334
2021-01-01 06:30:14,7.658,80.713
2021-01-01 06:45:14,7.305,84.511
2021-01-01 07:00:14,7.082,81.612
2021-01-01 07:15:14,6.575,83.202
2021-01-01 07:30:14,6.314,84.33
2021-01-01 07:45:14,7.996,72.205
2021-01-01 08:00:14,7.781,74.635
2021-01-01 08:15:14,7.474,77.565
2021-01-01 08:30:14,7.788,73.66
2021-01-01 08:45:14,8.069,70.65
2021-01-01 09:00:14,7.754,73.384
2021-01-01 09:15:14,8.007,67.735
2021-01-01 09:30:14,8.134,68.238
2021-01-01 09:45:14,7.696,77.576
2021-01-01 10:00:14,7.604,82.764
2021-01-01 10:15:14,8.172,83.378
2021-01-01 10:30:14,8.602,83.612
2021-01-01 10:45:14,8.852,82.265
2021-01-01 11:00:14,8.979,79.139
2021-01-01 11:15:14,9.351,76.29
2021-01-01 11:30:14,11.428,68.15
2021-01-01 11:45:14,13.168,59.979
2021-01-01 12:00:15,13.701,60.69
2021-01-01 12:15:14,12.281,64.007
2021-01-01 12:30:14,13.413,55.955
2021-01-01 12:45:14,14.174,49.708
2021-01-01 13:00:14,13.394,51.113
2021-01-01 13:15:14,12.661,54.02
2021-01-01 13:30:14,12.853,50.703
2021-01-01 13:45:14,13.229,48.737
2021-01-01 14:00:13,13.774,46.372
2021-01-01 14:15:14,14.097,47.854
2021-01-01 14:30:14,14.949,40.589
2021-01-01 14:45:14,14.934,32.925
2021-01-01 15:00:13,14.362,35.793
2021-01-01 15:15:14,13.947,30.08
2021-01-01 15:30:14,12.876,32.622
2021-01-01 15:45:14,13.356,31.213
2021-01-01 16:00:14,14.105,29.504
2021-01-01 16:15:14,13.755,29.062
2021-01-01 16:30:14,14.012,29.512
2021-01-01 16:45:14,13.544,29.976
2021-01-01 17:00:14,12.922,32.011
2021-01-01 17:15:14,11.643,35.052
2021-01-01 17:30:14,10.845,34.891
2021-01-01 17:45:14,10.442,36.964
2021-01-01 18:00:14,10.127,37.882
2021-01-01 18:15:14,10.065,37.21
2021-01-01 18:30:14,9.743,38.178
2021-01-01 18:45:14,9.286,40.328
2021-01-01 19:00:14,7.232,49.919
2021-01-01 19:15:14,5.243,59.975
2021-01-01 19:30:14,5.028,60.92
2021-01-01 19:45:14,4.432,66.054
2021-01-01 20:00:14,5.008,60.471
2021-01-01 20:15:14,5.465,56.85
2021-01-01 20:30:14,5.765,55.944
2021-01-01 20:45:14,6.283,55.41
2021-01-01 21:00:13,6.464,54.074
2021-01-01 21:15:14,6.748,52.684
2021-01-01 21:30:14,6.717,52.98
2021-01-01 21:45:14,6.241,54.692
2021-01-01 22:00:14,6.606,52.423
2021-01-01 22:15:14,5.78,55.767
2021-01-01 22:30:14,5.665,55.675
2021-01-01 22:45:14,4.866,59.626
2021-01-01 23:00:14,5.039,59.131
2021-01-01 23:15:14,4.694,60.294
2021-01-01 23:30:14,4.651,59.81
2021-01-01 23:45:14,4.724,59.991
2021-01-02 00:00:13,5.093,58.09
2021-01-02 00:15:14,6.21,52.834
2021-01-02 00:30:14,5.481,55.333
2021-01-02 00:45:14,5.035,56.581
2021-01-02 01:00:13,7.182,48.13
2021-01-02 01:15:14,6.959,48.99
2021-01-02 01:30:14,7.166,48.107
2021-01-02 01:45:14,7.358,45.638
2021-01-02 02:00:14,7.393,45.78
2021-01-02 02:15:14,7.404,46.379
2021-01-02 02:30:14,7.715,46.429
2021-01-02 02:45:14,7.765,46.729
2021-01-02 03:00:15,5.949,55.821
2021-01-02 03:15:14,5.957,55.299
2021-01-02 03:30:14,6.107,52.431
2021-01-02 03:45:14,6.706,47.585
2021-01-02 04:00:15,6.959,44.724
2021-01-02 04:15:14,7.036,42.301
2021-01-02 04:30:14,7.036,41.948
2021-01-02 04:45:14,7.09,40.931
2021-01-02 05:00:14,6.118,45.266
2021-01-02 05:15:14,6.375,44.494
2021-01-02 05:30:14,6.602,42.985
2021-01-02 05:45:14,5.811,46.583
2021-01-02 06:00:13,5.811,45.926
2021-01-02 06:15:14,5.911,44.621
2021-01-02 06:30:14,5.773,43.73
2021-01-02 06:45:14,5.646,43.43
2021-01-02 07:00:14,5.496,44.79
2021-01-02 07:15:14,5.623,43.88
2021-01-02 07:30:14,5.281,45.281
2021-01-02 07:45:14,5.066,45.615
2021-01-02 08:00:15,5.515,44.39
