Fecha,Temperatura,Humedad
2021-06-30 00:00:15,22.94,89.664
2021-06-30 00:15:14,22.786,90.155
2021-06-30 00:30:14,22.356,91.261
2021-06-30 00:45:14,22.51,84.902
2021-06-30 01:00:14,22.632,82.107
2021-06-30 01:15:14,22.417,82.353
2021-06-30 01:30:14,22.356,81.37
2021-06-30 01:45:14,22.295,82.107
2021-06-30 02:00:14,21.742,83.428
2021-06-30 02:15:14,21.772,85.701
2021-06-30 02:30:14,21.772,89.449
2021-06-30 02:45:14,21.68,88.804
2021-06-30 03:00:14,21.772,87.575
2021-06-30 03:15:14,21.803,87.452
2021-06-30 03:30:14,21.742,85.978
2021-06-30 03:45:14,21.588,85.763
2021-06-30 04:00:14,21.25,85.517
2021-06-30 04:15:14,20.421,87.513
2021-06-30 04:30:14,19.96,90.677
2021-06-30 04:45:14,19.837,92.367
2021-06-30 05:00:15,20.82,87.36
2021-06-30 05:15:14,21.557,84.012
2021-06-30 05:30:14,21.834,83.827
2021-06-30 05:45:14,21.865,84.964
2021-06-30 06:00:13,21.619,85.978
2021-06-30 06:15:14,21.588,81.677
2021-06-30 06:30:14,21.434,82.691
2021-06-30 06:45:14,21.742,83.674
2021-06-30 07:00:14,21.987,85.67
2021-06-30 07:15:14,22.448,84.534
2021-06-30 07:30:14,22.725,82.722
2021-06-30 07:45:14,23.093,81.216
2021-06-30 08:00:15,23.708,80.848
2021-06-30 08:15:14,23.892,80.295
2021-06-30 08:30:14,25.182,74.489
2021-06-30 08:45:14,26.288,67.977
2021-06-30 09:00:14,27.301,64.813
2021-06-30 09:15:14,27.517,63.615
2021-06-30 09:30:14,27.824,64.168
2021-06-30 09:45:14,26.841,65.95
2021-06-30 10:00:15,27.486,63.769
2021-06-30 10:15:14,26.933,64.322
2021-06-30 10:30:14,27.578,65.735
2021-06-30 10:45:14,26.964,66.073
2021-06-30 11:00:14,27.209,66.441
2021-06-30 11:15:14,28.315,66.134
2021-06-30 11:30:14,28.776,62.233
2021-06-30 11:45:14,27.793,65.888
2021-06-30 12:00:13,28.653,63.4
2021-06-30 12:15:14,28.499,61.588
2021-06-30 12:30:14,28.53,64.291
2021-06-30 12:45:14,27.701,66.687
2021-06-30 13:00:15,28.008,63.032
2021-06-30 13:15:14,28.53,62.202
2021-06-30 13:30:14,28.776,64.107
2021-06-30 13:45:14,28.837,63.308
2021-06-30 14:00:14,27.916,64.445
2021-06-30 14:15:14,28.653,65.059
2021-06-30 14:30:14,28.284,66.564
2021-06-30 14:45:14,28.438,65.981
2021-06-30 15:00:14,28.131,68.223
2021-06-30 15:15:14,28.192,67.424
2021-06-30 15:30:14,27.025,71.141
2021-06-30 15:45:14,27.086,72.278
2021-06-30 16:00:14,28.438,67.639
2021-06-30 16:15:14,28.438,65.735
2021-06-30 16:30:14,28.069,66.81
2021-06-30 16:45:14,28.162,64.568
2021-06-30 17:00:14,28.837,62.786
